timestamp_ms,label,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,gx_dps,gy_dps,gz_dps
20811,99,-6252,5084,14056,622,406,-76,4.75,3.1,-0.58
20844,99,-6272,4984,13668,559,472,-210,4.26,3.6,-1.6
20856,99,-6228,5036,13856,545,528,-200,4.16,4.03,-1.53
20868,99,-6192,5096,14028,630,492,-233,4.81,3.75,-1.78
20880,99,-6328,5160,13952,614,505,-244,4.68,3.85,-1.86
20892,99,-6300,5108,13840,606,430,-250,4.62,3.28,-1.91
20904,99,-6408,5140,13844,546,428,-272,4.17,3.27,-2.08
20916,99,-6428,5192,13852,516,396,-238,3.94,3.02,-1.82
20928,99,-6500,5160,13884,545,388,-155,4.16,2.96,-1.18
20940,99,-6404,5124,13644,452,368,-164,3.45,2.81,-1.25
20973,99,-6444,5116,13516,408,599,-290,3.11,4.57,-2.21
20985,99,-6348,5144,13608,245,554,-222,1.87,4.23,-1.69
20997,99,-6508,5124,13616,186,412,-159,1.42,3.14,-1.21
21009,99,-6624,5148,13704,157,352,-136,1.2,2.69,-1.04
21021,99,-6612,5116,13880,204,300,-105,1.56,2.29,-0.8
21033,99,-6564,5032,13944,170,382,-147,1.3,2.91,-1.12
21045,99,-6448,5072,13880,187,489,-115,1.43,3.73,-0.88
21057,99,-6480,5064,13924,177,383,-129,1.35,2.92,-0.98
21069,99,-6568,4920,13844,180,529,-153,1.37,4.04,-1.17
21102,99,-6784,5016,14016,325,506,-120,2.48,3.86,-0.92
21114,99,-6316,4712,13740,547,832,-96,4.17,6.35,-0.73
21126,99,-6492,5196,13784,221,265,-45,1.69,2.02,-0.34
21138,99,-6564,5048,14092,240,273,-77,1.83,2.08,-0.59
21150,99,-6604,5024,14136,439,363,-43,3.35,2.77,-0.33
21162,99,-6520,5060,13784,355,300,-66,2.71,2.29,-0.5
21174,99,-6588,5076,13740,290,222,-36,2.21,1.69,-0.27
21186,99,-6512,5108,13980,324,277,-24,2.47,2.11,-0.18
21198,99,-6492,4908,13916,300,270,-33,2.29,2.06,-0.25
21231,99,-6620,4904,14000,517,178,-129,3.94,1.36,-0.98
21243,99,-6644,4980,13940,437,194,-61,3.33,1.48,-0.47
21255,99,-6636,5060,13868,465,281,-57,3.55,2.14,-0.43
21267,99,-6608,5024,13988,523,294,-13,3.99,2.24,-0.1
21279,99,-6548,4980,13800,495,278,-19,3.78,2.12,-0.14
21291,99,-6464,5036,13696,469,323,-37,3.58,2.46,-0.28
21303,99,-6432,5080,13720,430,311,-64,3.28,2.37,-0.49
21315,99,-6524,5132,13744,434,315,-94,3.31,2.4,-0.72
21327,99,-6496,5016,13776,443,196,-57,3.38,1.5,-0.43
21360,99,-6652,4956,13856,459,136,-46,3.5,1.04,-0.35
21372,99,-6620,5000,13968,337,209,-10,2.57,1.59,-0.08
21384,99,-6620,5044,13920,321,223,26,2.45,1.7,0.2
21396,99,-6604,5036,13964,415,96,57,3.17,0.73,0.43
21408,99,-6616,5096,13968,480,81,129,3.66,0.62,0.98
21420,99,-6540,5072,13980,464,84,169,3.54,0.64,1.29
21432,99,-6404,5144,13668,417,141,130,3.18,1.08,0.99
21444,99,-6396,5196,13880,367,75,130,2.8,0.57,0.99
21456,99,-6416,5260,13600,327,-17,187,2.49,-0.13,1.43
21489,99,-6456,5064,13576,350,-171,33,2.67,-1.3,0.25
21501,99,-6360,5116,13632,255,-125,29,1.95,-0.95,0.22
21513,99,-6412,5100,13904,54,-243,97,0.41,-1.85,0.74
21525,99,-6468,5124,13876,213,-65,23,1.63,-0.5,0.18
21537,99,-6472,5096,13764,189,58,74,1.44,0.44,0.56
21549,99,-6408,4984,13708,44,-17,78,0.34,-0.13,0.6
21561,99,-6380,5100,13876,12,-55,28,0.09,-0.42,0.21
21573,99,-6412,5036,14020,52,-146,16,0.4,-1.11,0.12
21585,99,-6340,5044,13956,49,0,-50,0.37,0,-0.38
21618,99,-6356,4968,13876,162,-41,-88,1.24,-0.31,-0.67
21630,99,-6232,5100,13972,183,-15,-105,1.4,-0.11,-0.8
